0,displayPrice,label,name,rating,合住房間,整個房源,獨立房間,飯店房間
,936.0,2.0,Japanese-Style Economy Single Room w Shared Bath,4.66,0.0,0.0,1.0,0.0
,1008.0,1.0,New APT w/loft up to 1 Near Ikebukuro FreeWiFi,4.61,0.0,1.0,0.0,0.0
,1297.0,0.0,SKY Hostels 両国 302号室(セミダブルベッド),4.42,0.0,0.0,0.0,1.0
,951.0,2.0,[Mixed Dormitory]5mins from Shintomicho Sta.on foot/Strolling around Ginza&Tsukiji/6Pax/FreeWifi,4.74,1.0,0.0,0.0,0.0
,749.0,2.0,【5 minutes on foot from Akihabara station】Dormitory Room male Only(Non smoking),4.63,1.0,0.0,0.0,0.0
,1225.0,2.0,上野駅から徒歩10分、稲荷町駅2分、アメ横・浅草寺も徒歩圏内！個室のお部屋です【スタンダードダブルA】,4.4,0.0,0.0,1.0,0.0
,4322.0,1.0,東新宿站3分/歌舞伎町/黃金小巷至近！3層一戶建*9人OK,0.0,0.0,1.0,0.0,0.0
,519.0,0.0,"LADY's dorm OLD TOKYO ASAKUSA！
1min to 24/7 market",4.78,0.0,0.0,0.0,1.0
,3976.0,1.0,501 室内外全新 新宿区独立高档楼房 车站1分 免费wifi,0.0,0.0,1.0,0.0,0.0
,634.0,1.0,新宿/徒步歌舞伎町/10分钟内直达涩谷池袋/位置便利周边繁华,4.92,0.0,1.0,0.0,0.0
,1297.0,1.0,New Clean Flat :Easy Access to Shibuya :FreeWifi ❸,4.55,0.0,1.0,0.0,0.0
,1714.0,1.0,LICENSED SHINJUKU APARTMENT: 2 mins from metro,4.57,0.0,1.0,0.0,0.0
,980.0,1.0,On Sale!  Cozy Room central Shinjuku Room 205,3.5,0.0,1.0,0.0,0.0
,1441.0,1.0,DM10）SHINJUKU中心*免费口袋WIfi *,5.0,0.0,1.0,0.0,0.0
,692.0,1.0,徒步6分钟到车站。临近秋叶原！！地理位置优越，设施齐全/304,4.44,0.0,1.0,0.0,0.0
,894.0,2.0,Rest & Fun before or after your flight From NRT,5.0,0.0,0.0,1.0,0.0
,980.0,1.0,On Sale!  Cozy Room central Shinjuku Room 207,5.0,0.0,1.0,0.0,0.0
