,中文,英文,標籤,排名,地址
0,新宿御苑,Shinjuku Gyoen National Garden,"自然景觀,觀景區",排名第 1的新宿區觀光 (共419家),東京都新宿區藤町11160-0014
1,明治神宮,Meiji Jingu Shrine,自然景觀,排名第 2的澀谷區觀光 (共279家),東京都澀谷區代代木神園町1-1151-0052
2,淺草,Asakusa,"遊客相關,自然景觀,其他",排名第 1的台東區觀光 (共560家),東京都台東區
3,築地市場,The Tsukiji Market,自然景觀,排名第 4的Tsukiji觀光 (共20家),東京都中央區Tsukiji築地5-2-1104-0045
4,武士博物館,Samurai Museum,博物館,排名第 2的新宿區觀光 (共419家),東京都新宿區歌舞伎町2-25-6永和第 6 大楼160-0021
5,銀座,Ginza,"遊客相關,自然景觀,其他",排名第 3的中央區觀光 (共577家),東京都中央區銀座104-0061
6,東京國立博物館,Tokyo National Museum,"自然景觀,博物館,宗教",排名第 5的台東區觀光 (共560家),東京都台東區上野公園13-9110-0007
7,淺草寺,Senso-ji Temple,"自然景觀,宗教",排名第 1的Asakusa觀光 (共10家),東京都台東區Asakusa淺草2-3-1111-0032
8,上野恩賜公園,Ueno Park,自然景觀,排名第 6的台東區觀光 (共560家),東京都台東區池之端三丁目110-0007
9,東京晴空塔,Tokyo Skytree,"自然景觀,觀景區",排名第 3的墨田區觀光 (共264家),東京都墨田區1-1-2 Oshiage131-0045
10,江戶東京博物館,Edo-Tokyo Museum,博物館,排名第 1的墨田區觀光 (共264家),東京都墨田區橫綱1-4-1130-0015
11,台場,Odaiba,"遊客相關,自然景觀,其他",排名第 1的Daiba觀光 (共13家),東京都港區Daiba台場2-4-8135-0091
12,濱離宮恩賜庭園,Hama Rikyu Gardens,自然景觀,排名第 2的中央區觀光 (共577家),東京都中央區濱離宮庭園1-1104-0046
13,森美術館,Mori Art Museum,博物館,排名第 6的港區觀光 (共626家),東京都港區六本木6-10-1 六本木Hills森塔53層Roppongi Hills Mori Tower 53F106-6150
14,東京都政府辦公大樓,Tokyo Metropolitan Government Buildings,"自然景觀,遊客相關,觀景區",排名第 4的新宿區觀光 (共419家),東京都新宿區西新宿2-8-1160-0023
15,森大廈,六本木之丘展望台 Tokyo City View Observation Deck (Roppongihills),"自然景觀,觀景區",排名第 1的Roppongi觀光 (共17家),東京都港區Roppongi六本木6-10-1 六本木Hills森塔5106-6182
