,中文,英文,標籤
0,新宿御苑,Shinjuku Gyoen National Garden,自然景觀
1,新宿御苑,Shinjuku Gyoen National Garden,觀景區
2,明治神宮,Meiji Jingu Shrine,自然景觀
3,淺草,Asakusa,遊客相關
4,淺草,Asakusa,自然景觀
5,淺草,Asakusa,其他
6,築地市場,The Tsukiji Market,自然景觀
7,武士博物館,Samurai Museum,博物館
8,銀座,Ginza,遊客相關
9,銀座,Ginza,自然景觀
10,銀座,Ginza,其他
11,東京國立博物館,Tokyo National Museum,自然景觀
12,東京國立博物館,Tokyo National Museum,博物館
13,東京國立博物館,Tokyo National Museum,宗教
14,淺草寺,Senso-ji Temple,自然景觀
15,淺草寺,Senso-ji Temple,宗教
16,上野恩賜公園,Ueno Park,自然景觀
17,東京晴空塔,Tokyo Skytree,自然景觀
18,東京晴空塔,Tokyo Skytree,觀景區
19,江戶東京博物館,Edo-Tokyo Museum,博物館
20,台場,Odaiba,遊客相關
21,台場,Odaiba,自然景觀
22,台場,Odaiba,其他
23,濱離宮恩賜庭園,Hama Rikyu Gardens,自然景觀
24,森美術館,Mori Art Museum,博物館
25,東京都政府辦公大樓,Tokyo Metropolitan Government Buildings,自然景觀
26,東京都政府辦公大樓,Tokyo Metropolitan Government Buildings,遊客相關
27,東京都政府辦公大樓,Tokyo Metropolitan Government Buildings,觀景區
28,森大廈,六本木之丘展望台 Tokyo City View Observation Deck (Roppongihills),自然景觀
29,森大廈,六本木之丘展望台 Tokyo City View Observation Deck (Roppongihills),觀景區
30,東京塔,Tokyo Tower,自然景觀
31,東京塔,Tokyo Tower,觀景區
32,東京車站,Tokyo Central Railway Station,自然景觀
33,東京車站,Tokyo Central Railway Station,觀景區
34,東京車站,Tokyo Central Railway Station,宗教
35,根津神社,Nezu Shrine,自然景觀
36,根津神社,Nezu Shrine,宗教
37,根津美術館,Nezu Museum,博物館
38,千鳥淵,Chidorigafuchi,自然景觀
39,澀谷站前,十字路口 Shibuya Crossing,自然景觀
40,秋葉原電器街,Akihabara,遊客相關
41,秋葉原電器街,Akihabara,自然景觀
42,秋葉原電器街,Akihabara,其他
43,東京國立美術館,"The National Art Center, Tokyo",博物館
44,,teamLab Borderless,購物
45,,teamLab Borderless,博物館
46,,teamLab Borderless,場館
